City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Punta Arenas,-53.16,-70.91,44.6,92,75,28.86
Chokurdakh,70.62,147.9,-35.67,69,0,2.93
Butaritari,3.07,172.79,83.45,100,64,12.88
Aberdeen,45.47,-98.49,17.96,80,90,14.99
Kangaatsiaq,68.31,-53.46,5.51,100,8,8.63
Jojoima,7.88,-10.79,76.21,66,32,8.63
Dikson,73.51,80.55,-21.72,96,8,16.24
Avarua,-21.21,-159.78,84.2,70,75,13.87
Kapaa,22.08,-159.32,80.04,64,40,12.75
Vaini,15.34,74.49,55.4,76,0,2.37
Ushuaia,-54.81,-68.31,46.4,42,40,11.41
Ribeira Brava,32.65,-17.07,64.4,63,40,12.75
Vestmannaeyjar,63.44,-20.27,42.23,95,92,26.42
Suntar,62.16,117.65,-10.02,70,20,5.28
Cape Town,-33.93,18.42,51.8,93,56,2.24
Mvuma,-19.28,30.53,65.23,97,80,7.18
Saldanha,41.42,-6.55,21.49,82,0,3.38
Rikitea,-23.12,-134.97,79.31,100,32,17.13
Atuona,-9.8,-139.03,81.43,100,0,17.02
Hobart,-42.88,147.33,71.6,21,0,23.04
Mataura,-46.19,168.86,63.47,64,0,4.38
Hithadhoo,-0.6,73.08,78.91,100,88,3.38
Gornoye Loo,43.72,39.61,53.6,58,90,11.18
Tirumullaivasal,11.24,79.84,76.7,84,44,11.88
Cabo San Lucas,22.89,-109.91,74.0,100,0,2.71
Puerto Ayora,-0.74,-90.35,80.6,65,20,16.11
Bluff,-23.58,149.07,80.66,68,0,8.86
Gao,16.28,-0.04,60.05,49,0,4.5
Copiapo,-27.37,-70.33,64.4,77,0,6.93
Ferkessedougou,9.6,-5.2,68.06,61,0,4.5
Thompson,55.74,-97.86,-4.01,70,75,2.24
Sisimiut,66.94,-53.67,-19.56,100,0,3.38
Chuy,-33.69,-53.46,65.95,86,64,7.74
Torbay,47.66,-52.73,32.0,100,75,16.11
